id,name,type,first,last,website,weight
1569,Adam Esplin,Researcher,Adam,Esplin,http://professor.business.ualberta.ca/adamesplin,5
2979,"Accounting, Operations and Information Systems",Department,,,,1
263,market,Interest,,,,3
1321,analyse,Interest,,,,3
232,financial,Interest,,,,1
1279,accounting,Interest,,,,1
3271,Adam Galovan,Researcher,Adam,Galovan,https://www.ualberta.ca/agriculture-life-environment-sciences/about-us/facultylecturer-directory/adam-galovan,6
440,statistics,Interest,,,,2
594,Human Ecology,Department,,,,1
558,health,Interest,,,,1
915,wellbeing,Interest,,,,1
739,methodology,Interest,,,,1
161,family,Interest,,,,1
3089,Adam Gaudry,Researcher,Adam,Gaudry,https://www.ualberta.ca/native-studies/about-us/contact-us-people/faculty/adam-gaudry,7
44,governance,Interest,,,,1
276,metis,Interest,,,,2
70,politics,Interest,,,,2
244,Native Studies,Department,,,,1
389,identity,Interest,,,,2
2226,indigeneity,Interest,,,,2
21,policy,Interest,,,,1
2050,Adam Kemezis,Researcher,Adam,Kemezis,http://www.historyandclassics.ualberta.ca/People/Faculty/KemezisAdam.aspx,12
48,literature,Interest,,,,2
1608,roman,Interest,,,,1
123,graduate,Interest,,,,1
8,cultural,Interest,,,,1
684,fields,Interest,,,,1
2837,History and classics,Department,,,,1
603,latin,Interest,,,,1
1609,greek,Interest,,,,1
108,history,Interest,,,,3
1480,empire,Interest,,,,1
574,historiography,Interest,,,,1
3077,Adam Worrall,Researcher,Adam,Worrall,https://www.adamworrall.org/,10
116,media,Interest,,,,2
273,community,Interest,,,,1
2844,Library and Information Studies,Department,,,,1
368,collaboration,Interest,,,,1
126,technology,Interest,,,,1
311,communication,Interest,,,,2
301,library,Interest,,,,1
2839,Information,Interest,,,,2
30,knowledge,Interest,,,,1
106,behaviour,Interest,,,,1
2043,Aditya Kaul,Researcher,Aditya,Kaul,http://professor.business.ualberta.ca/adityakaul,5
2150,investment,Interest,,,,2
231,finance,Interest,,,,2
2980,Finance and Statistical Analysis,Department,,,,2
2528,Aidan Rowe,Researcher,Aidan,Rowe,https://www.ualberta.ca/art-design/people/teaching-faculty/aidan-rowe,13
360,computer,Interest,,,,1
349,interaction,Interest,,,,1
133,theoretical,Interest,,,,1
545,criticism,Interest,,,,2
345,design,Interest,,,,1
39,human,Interest,,,,1
2838,Art and Design,Department,,,,1
1230,clients,Interest,,,,1
45,education,Interest,,,,1
1436,interactive,Interest,,,,1
2709,Akiko Watanabe,Researcher,Akiko,Watanabe,https://www.ualberta.ca/business/about/contact-us/school-directory/akiko-watanabe,9
2710,mispricing,Interest,,,,1
32,international,Interest,,,,1
2711,rational,Interest,,,,1
892,Albert Braz,Researcher,Albert,Braz,http://www.efs.ualberta.ca/People/Faculty/AlbertBraz.aspx,14
623,interamerican,Interest,,,,1
320,canadian,Interest,,,,1
271,aboriginal,Interest,,,,1
895,continental,Interest,,,,1
524,artist,Interest,,,,1
896,fiction,Interest,,,,1
865,species,Interest,,,,1
897,prairie,Interest,,,,1
2840,English and Film Studies,Department,,,,1
1112,Alexander Carpenter,Researcher,Alexander,Carpenter,https://www.ualberta.ca/augustana/about-us/academic-staff/alexander-carpenter,9
2842,harmony,Interest,,,,1
542,psychoanalysis,Interest,,,,1
1113,popular,Interest,,,,1
56,music,Interest,,,,1
838,aural,Interest,,,,1
1114,musicology,Interest,,,,1
234,Augustana,Department,,,,1